,Provincias,Ramas de actividad,periodo,Total,id
1196,Pontevedra,"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2019,3.977.842,36
1197,Pontevedra,C. - De las cuales: Industria manufacturera,2021,4.316.195,36
1198,Pontevedra,C. - De las cuales: Industria manufacturera,2020,3.704.507,36
1199,Pontevedra,C. - De las cuales: Industria manufacturera,2019,3.713.443,36
1200,Pontevedra,F. Construcción,2021,1.168.637,36
1201,Pontevedra,F. Construcción,2020,1.200.960,36
1202,Pontevedra,F. Construcción,2019,1.369.926,36
1203,Pontevedra,"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2021,4.885.776,36
1204,Pontevedra,"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2020,4.194.311,36
1205,Pontevedra,"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2019,5.014.448,36
1206,Pontevedra,"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2021,4.299.973,36
1207,Pontevedra,"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2020,4.150.541,36
1208,Pontevedra,"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2019,4.204.561,36
1209,Pontevedra,"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2021,4.052.861,36
1210,Pontevedra,"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2020,4.056.584,36
1211,Pontevedra,"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2019,4.238.514,36
1212,Pontevedra,Valor añadido bruto total,2021,19.893.691,36
1213,Pontevedra,Valor añadido bruto total,2020,18.273.467,36
1214,Pontevedra,Valor añadido bruto total,2019,19.623.979,36
1215,Pontevedra,Impuestos netos sobre los productos,2021,2.094.638,36
1216,Pontevedra,Impuestos netos sobre los productos,2020,1.752.459,36
1217,Pontevedra,Impuestos netos sobre los productos,2019,2.013.335,36
1218,Pontevedra,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,21.988.329,36
1219,Pontevedra,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,20.025.926,36
1220,Pontevedra,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2019,21.637.314,36
1221,"Rioja, La",PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,8.619.779,26
1222,"Rioja, La",PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,8.105.603,26
1223,"Rioja, La",PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2019,8.822.400,26
1224,"Rioja, La","A. Agricultura, ganadería, silvicultura y pesca",2021,476.624,26
1225,"Rioja, La","A. Agricultura, ganadería, silvicultura y pesca",2020,467.196,26
1226,"Rioja, La","A. Agricultura, ganadería, silvicultura y pesca",2019,480.753,26
1227,"Rioja, La","B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2021,1.987.268,26
1228,"Rioja, La","B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2020,1.881.181,26
1229,"Rioja, La","B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2019,2.041.910,26
1230,"Rioja, La",C. - De las cuales: Industria manufacturera,2021,1.687.784,26
1231,"Rioja, La",C. - De las cuales: Industria manufacturera,2020,1.617.797,26
1232,"Rioja, La",C. - De las cuales: Industria manufacturera,2019,1.786.257,26
1233,"Rioja, La",F. Construcción,2021,438.925,26
1234,"Rioja, La",F. Construcción,2020,429.765,26
1235,"Rioja, La",F. Construcción,2019,493.419,26
1236,"Rioja, La","G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2021,1.560.662,26
1237,"Rioja, La","G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2020,1.346.824,26
